Voltage, ChB, Run #5
Time ( s )	Voltage ( V )
37,0250	0,014
37,0500	0,012
37,0750	0,012
37,1000	0,018
37,1250	0,020
37,1500	0,010
37,1750	0,013
37,2000	0,021
37,2250	0,022
37,2500	0,016
37,2750	0,020
37,3000	0,018
37,3250	0,019
37,3500	0,020
37,3750	0,021
37,4000	0,013
37,4250	0,015
37,4500	0,014
37,4750	0,016
37,5000	0,017
37,5250	0,020
37,5500	0,015
37,5750	0,015
37,6000	0,021
37,6250	0,023
37,6500	0,015
37,6750	0,015
37,7000	0,016
37,7250	0,018
37,7500	0,022
37,7750	0,020
37,8000	0,016
37,8250	0,018
37,8500	0,013
37,8750	0,013
37,9000	0,022
37,9250	0,024
37,9500	0,014
37,9750	0,015
38,0000	0,021
38,0250	0,022
38,0500	0,016
38,0750	0,019
38,1000	0,018
38,1250	0,017
38,1500	0,020
38,1750	0,021
38,2000	0,015
38,2250	0,018
38,2500	0,013
38,2750	0,013
38,3000	0,020
38,3250	0,021
38,3500	0,012
